EntrezGene.ID	Associated.Gene.Name	Transcript.Start..bp.	Chromosome.Name
NA	AE000658.1-2	 21159897	chr14
NA	AE000658.1-3	 21181033	chr14
NA	AE000658.1-5	 21250394	chr14
NA	AE000658.1-6	 21261976	chr14
NA	AE000658.1-7	 21274341	chr14
NA	AE000659.1-1	 21287314	chr14
NA	AE000659.1-2	 21306633	chr14
NA	AE000659.1-3	 21321050	chr14
NA	AE000659.1-4	 21335431	chr14
NA	AE000659.1-5	 21349514	chr14
NA	AE000659.1-6	 21363512	chr14
NA	AE000659.1-7	 21379262	chr14
NA	AE000659.1-8	 21384784	chr14
NA	AE000659.1-9	 21390575	chr14
NA	AE000659.1-10	 21406883	chr14
NA	AE000659.1-11	 21425979	chr14
NA	AE000659.1-12	 21432581	chr14
NA	AE000659.1-13	 21456273	chr14
NA	AE000659.1-14	 21462154	chr14
NA	AE000659.1-15	 21479209	chr14
NA	AE000659.1-16	 21503576	chr14
NA	AE000659.1-17	 21516759	chr14
NA	AE000659.1-18	 21528575	chr14
NA	AE000660.1-1	 21535765	chr14
NA	AE000660.1-2	 21541290	chr14
NA	AE000660.1-3	 21545708	chr14
NA	AE000660.1-4	 21578749	chr14
NA	AE000660.1-5	 21590620	chr14
NA	AE000660.1-6	 21608793	chr14
NA	AE000660.1-7	 21624569	chr14
NA	AE000660.1-8	 21634167	chr14
NA	AE000660.1-9	 21643460	chr14
NA	AE000660.1-10	 21650216	chr14
NA	AE000660.1-11	 21661325	chr14
NA	AE000660.1-12	 21670355	chr14
NA	AE000660.1-13	 21685886	chr14
NA	AE000660.1-14	 21701085	chr14
NA	AE000660.1-15	 21706165	chr14
NA	AE000660.1-16	 21740317	chr14
NA	AE000660.1-17	 21745270	chr14
NA	AE000660.1-18	 21759632	chr14
NA	AE000660.1-19	 21764497	chr14
NA	AE000661.1-1	 21809694	chr14
NA	AE000661.1-2	 21818874	chr14
NA	AE000661.1-3	 21841779	chr14
NA	AE000661.1-4	 21852762	chr14
NA	AE000661.1-5	 21858460	chr14
NA	TRDV2	 21961377	chr14
 64919	TRA@	 22001764	chr14
NA	AE000661.1-13	 22007873	chr14
NA	TRA@	 22086287	chr14
NA	IGLV4-69	 20715392	chr22
NA	IGLV8-61	 20783171	chr22
NA	IGLV4-60	 20846591	chr22
NA	IGLV6-57	 20880199	chr22
NA	IGLV11-55	 20886069	chr22
NA	IGLV10-54	 20899197	chr22
NA	IGLV5-52	 21003021	chr22
NA	IGLV5-52	 21003087	chr22
NA	D87018.1-1	 21006864	chr22
NA	D87018.1-2	 21011709	chr22
NA	D87016.2-1	 21027576	chr22
NA	D87016.2-2	 21037289	chr22
NA	D87016.2-3	 21042143	chr22
NA	IGLV7-46	 21054016	chr22
   651536	IGLV5-45	 21060383	chr22
 28786	IGL@	 21065249	chr22
NA	IGLV7-43	 21079390	chr22
NA	IGL@	 21094149	chr22
NA	IGLV5-37	 21111881	chr22
NA	IGLV1-36	 21116336	chr22
NA	IGLV2-33	 21260684	chr22
NA	D87014.1	 21267037	chr22
NA	IGLV3-27	 21340796	chr22
NA	IGLV3-25	 21359233	chr22
NA	IGLV2-23	 21370436	chr22
NA	IGLV3-22	 21376814	chr22
NA	IGL@	 21384904	chr22
NA	IGLV3-19	 21393148	chr22
NA	IGLV2-18	 21407108	chr22
NA	IGLV3-16	 21419908	chr22
 28815	IGLV2-14	 21431230	chr22
NA	IGLV3-12	 21444326	chr22
NA	IGL@	 21465022	chr22
NA	IGL@	 21484279	chr22
NA	D87021.1	 21491622	chr22
NA	IGL@	 21495315	chr22
NA	IGLV4-3	 21543718	chr22
NA	IGLV3-1	 21553092	chr22
NA	D87023.1-2	 21567555	chr22
NA	IGL@	 21573156	chr22
NA	IGL@	 21578512	chr22
NA	D87017.2-2	 21591707	chr22
NA	D87017.2-4	 21594766	chr22
NA	TRG@	 38246150	chr7
   445347	TRGV9	 38266214	chr7
NA	TRGV9	 38268286	chr7
NA	TRGV11	 38297742	chr7
NA	AC006033.2-6	 38305937	chr7
NA	TRGV9	 38323143	chr7
NA	AC006033.2-7	 38336469	chr7
  6978	TRGV5	 38355481	chr7
NA	AC007245.3-1	 38359841	chr7
NA	TRGV3	 38364638	chr7
NA	AC007245.3-2	 38368990	chr7
NA	AC007245.3-3	 38373712	chr7
NA	IGHA2	105121536	chr14
NA	IGHA2	105124319	chr14
NA	IGHE	105135073	chr14
NA	IGHE	105137448	chr14
NA	IGHG4	105159294	chr14
NA	IGHG4	105161858	chr14
NA	IGHG2	105178347	chr14
NA	IGHG2	105180585	chr14
NA	AL928761.2	105205631	chr14
  3493	IGHA1	105244550	chr14
  3507	IGHM	105275144	chr14
NA	IGHM	105278855	chr14
NA	IGHG3	105303296	chr14
NA	IGHG3	105306619	chr14
  3495	IGHD	105374817	chr14
NA	IGHD	105375782	chr14
NA	IGHM	105389522	chr14
NA	IGHM	105391493	chr14
NA	AB019441.1-15	105476654	chr14
NA	AB019441.1-16	105523714	chr14
NA	AB019441.1-17	105542289	chr14
NA	AB019441.1-18	105549153	chr14
NA	AB019440.1-2	105565179	chr14
NA	IGHM	105589443	chr14
NA	AB019440.1-3	105610122	chr14
NA	AB019440.1-4	105623329	chr14
100133739	IGH@	105644276	chr14
NA	AB019440.1-5	105657180	chr14
NA	AB019440.1-6	105681356	chr14
NA	AB019440.1-7	105692939	chr14
NA	AB019440.1-8	105712606	chr14
NA	AB019440.1-9	105738624	chr14
NA	AB019439.1-1	105762716	chr14
